CCCCOC(CBr)c1ccc(C2CCCC2)cc1,3.114
O=Nc1ccc(N=O)cc1,2.125
CCOP(=O)(SCC)SCC,3.185
CCCCCCCCc1ccccc1O,1.867
CC=CC(=O)C1=C(C)CCCC1(C)C,1.819
CC(C)COC(=O)CC#N,1.495
C1=CCCC=CCCC=CCC1,1.96
CC(Cc1ccccc1)OC(N)=O,2.212
C=CCONC(CCC)=C1C(=O)CC(C)(C)C(C(=O)OC)C1=O,2.156
CCCCCCCC=CC=O,1.489
FC(F)(F)c1nc2c(Br)cc(Br)cc2[nH]1,4.76
C=CCN(C(=O)Cn1nc(C)ccc1=O)C(C)Cc1ccccc1,2.279
CC=CC(C)=O,1.42
C1OC1C1CO1,3.043
CC(C)OCCO,1.265
CCOC(=S)SSSC(=S)OCC,3.067
CC(Cl)=CCl,1.744
CNC(=O)Oc1cc(C(C)C)c(OC(=O)NC)cc1C,3.67
CC(Br)(CCl)CBr,2.506
O=[N+]([O-])C(Cl)(Cl)Cl,2.818
O=C(CF)NC(=O)Nc1ccccc1,3.895
C1CC2CC1CC2CNCC1CC2CCC1C2,2.219
C1CN2CCC1CC2,3.136
FC(F)(F)c1nc2c(Cl)c(Cl)c(Br)c(Br)c2[nH]1,5.08
CC(=O)OCCC(Cl)C(C)=O,1.94
O=C(O)CF,4.222
Cc1cc(C)nc(C)c1,2.481
C=CCc1cc(OC)c2c(c1)OCO2,1.654
O=P(OCCCl)(OCCCl)OCC(CO)(CO)COP(=O)(OCCCl)OCCCl,2.046
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,1.546
CCC(CC)(C(=O)O)c1cccc2ccccc12,2.351
CCCCCN(C)N=O,3.035
CCCCCCCCCC=CCC1CC(=O)OC1=O,2.019
NCCCN1CCOCC1,1.608
CCCOP(=S)(OCC(C)C)Oc1cnn(C)c(=O)c1OC,3.553
Nc1ccc(F)c([N+](=O)[O-])c1,2.152
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,2.61
O=C=Nc1cccc(Cl)c1,1.5630000000000002
Clc1cn[nH]c1,2.289
CC(=O)OCC#N,3.491
O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1,3.029
COP(=O)(OC)OP(=O)(OC)OC,5.138999999999999
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,3.466
Fc1cc(Cl)c2nc(C(F)(F)F)[nH]c2c1,5.08
CNS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,1.731
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C2OC(=O)OC12C,2.117
OCCF,4.1080000000000005
CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,2.242
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.456
O=C1c2ccc(Br)cc2C(=O)C1c1ccccc1,3.303
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1.99
CC(C)(O)C(C)(O)c1ccc(Cl)cc1,2.412
CC(=O)CCC=C(C)C,1.557
CNC(=O)CSP(=S)(OC)OC,3.582
C=CCOC=O,2.842
CCOP(=S)(OCC)SCC(=O)NC(C)C,4.552
O=C1CCCN1C1CCCCC1,2.655
CCCOP(=S)(OCC)Sc1nc(C)cc(C)n1,3.589
CCCCCC(C)O,1.654
Cc1nccn1Cc1ccccc1,2.236
CCOP(=S)(OCC)SC1CCC2C=CCC1S2,3.365
CCCC(=O)OC(Cl)C(Cl)(Cl)Cl,2.234
CC[Si]1(CC)N[Si](CC)(CC)N[Si](CC)(CC)N1,2.199
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,1.51
CCOCC(=O)Nc1ccc(C(=O)c2ccccc2)cc1C,2.115
COP(=O)(OC)OC(=C(Cl)Br)c1ccc(Cl)cc1Cl,3.584
CCCP(=O)(OC)SC,3.828
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.337
COc1ccc2c(c1)c(CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,2.525
CC(C)COC(=O)C(C)C,1.052
COc1c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl,3.986
COC(=O)c1ccccc1N,1.716
CN1CCCCC1CCN1c2ccccc2Sc2ccc(Cl)cc21,2.476
CC(O)CN,1.554
Oc1ccc(N=Cc2ccccc2)cc1,1.751
COCCCNc1nc(NCCCOC)nc(SC)n1,2.333
CCCCC(CC)COC(CBr)c1ccccc1,3.0980000000000003
CC1(C)OCC(CO)O1,1.276
CCOP(=S)(OCC)SCCS(=O)(=O)CC,4.611000000000001
CCCC=C(C=NCCCCCCCCCCCCCCCCCCCCC)CC,1.897
CCCCC(CC)C(O)C(=O)O,1.71
C#CC(C)(O)CC,2.515
CC(=O)Nc1cc(Cl)ccc1Cl,1.6969999999999998
CS(=O)(=O)N(CCI)CCI,2.174
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.307
CC(O)COC(=O)CBr,2.472
CN1CCC(c2c[nH]c3ccccc23)C1,2.6860000000000004
COC(=O)c1ccco1,2.624
O=C(CCN1CC1)OCC(CO)(COC(=O)CCN1CC1)COC(=O)CCN1CC1,1.875
N=C(N)NCCN1CCCCCCC1,2.276
COc1cc2ccc(=O)oc2cc1O,1.704
C=Cc1ccccc1,1.319
CC(=O)OCC(C)C,0.938
CC(C)C(Br)C(=O)OCC(Cl)(Cl)Cl,2.319
CC1CC(C=O)CC(C)(C)C1,1.571
CCOCCOCCOCC,1.514
FC(F)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.725
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,1.989
Nc1cc([N+](=O)[O-])ccc1O,1.808
CCCCCCCCCCO,1.525
CCOP(=S)(OCC)SCn1nc(C)ccc1=O,3.836
O=C1C=CC(=O)C=C1,2.92
O=Cc1ccc(CO)o1,1.703
CCCCOCC(C)OCC(C)OCC(C)O,2.13
CNCC(O)c1cccc(O)c1,2.679
O=CNC(Nc1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,2.129
O=CCc1ccccc1,1.889
CCCC=C(C=O)CC,1.7990000000000002
CN1Cc2ccccc2C2CCc3ccccc3C21,2.395
CCOC(=O)C(=O)OCC,2.563
COc1ccc(N=NN(C)C)cc1,2.713
CC=CC(=O)OC(=O)C=CC,1.736
C1=CCCCC1,1.625
c1ccc(Sc2ccccc2)cc1,2.58
CCCCC(C)(C)CO,1.7719999999999998
O=C(CCCCC(=O)OC1CCCCC1)OC1CCCCC1,1.288
CCCCOCCOCCOC(=O)c1ccccc1C(=O)OCCOCCOCCCC,1.671
c1ccc(Cc2ccncc2)cc1,2.455
CC(C)C12C=CC(C)(CC1)OO2,2.925
C[Si](Cl)(Cl)Cl,1.86
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,2.994
c1ccc2cnccc2c1,2.555
COP(=O)(OC)Sc1ccc([N+](=O)[O-])cc1,3.788
CCCCCCCCSCCO,1.349
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,2.213
Cc1cccc(C(=O)O)c1O,2.5340000000000003
CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12,2.448
CN(C)CCCO,1.685
O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,1.86
CCOC(=O)N(Cc1ccccc1)C1CC1,2.201
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,1.739
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,2.499
C#CCCC#CC#CCCCCO,2.843
OCCNc1ccccc1,1.789
O=C(NCCO)OCCO,1.467
OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,2.6180000000000003
O=NN(CCO)CCO,1.252
CCN(CC)CCCNC(=O)C(C)(C)Oc1ccc(Cl)cc1,3.338
CCP(=O)(OC)SC,4.269
C=CCn1c(N)cc(=O)n(CC)c1=O,1.929
CN(C)NC(=O)CCC(=O)O,1.28
CCOC(=O)C1=CN(C(=O)CC)C2CCCC(C)N2C1=O,1.996
CC(=O)C1C(=O)C=C(C)OC1=O,2.527
S=c1scc(-c2ccccc2)n1N=Cc1ccccc1,1.472
CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.029
CNC(=O)ON=C(C)SC(C)C(N)=O,3.964
Nc1ccc2cc(S(=O)(=O)O)ccc2c1CS(=O)(=O)O,1.538
CC(=O)OC1=C(c2c(C)cc(C)cc2C)C(=O)c2ccccc21,1.5830000000000002
COP(=O)(OC)OC(=CCl)c1cc(Cl)ccc1Cl,1.942
Nc1cc(Cl)c(N)c(Cl)c1,2.403
COCCOC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(C)=O,1.768
OCCO,1.121
Cc1ccc(C)c(C#N)c1,1.641
NS(=O)(=O)c1c(Cl)c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc12,3.647
CC=C(C(=O)NC(N)=O)C(C)C,1.277
CCCCOC(=O)C1CCC(C(=O)OCCCC)C1,1.619
CNC(=O)c1cc(-c2ccccc2)ccc1OCCO,2.002
Cc1ccc2[nH]c(C(F)(F)F)nc2c1,3.502
O=C(O)COC(C(=O)O)C(=O)O,1.694
CCCOCC(C)O,1.6740000000000002
CCCCCN(N=O)C(N)=O,2.454
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],2.92
Oc1ccccc1S,2.8510000000000004
CCS(=O)(=O)Cc1ccccc1OC(=O)NC,2.7060000000000004
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,3.745
CCCCCCC(C)N,3.007
NNC(=O)CCCCCCCCC(=O)NN,1.964
CCCCCCCCCc1ccc(O)cc1,2.134
CCCCOC(C)=O,0.948
CNC(=S)NCCSCc1nc[nH]c1C,2.214
CN(C)CC#N,3.2260000000000004
CNC(=O)Oc1cc(C)c(N(C)C)cc1C(C)C,3.572
Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1,1.425
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.568
CC(C(=O)OCCCCO[N+](=O)[O-])c1ccc(-c2ccccc2)c(F)c1,3.025
O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cc(O)cc1Cl,2.516
CCCCC[Si](Cl)(Cl)Cl,1.944
CC(=O)OC1CCCCC1C(C)(C)C,1.635
NCCC[Si]12OCCN(CCO1)CCO2,1.6030000000000002
COc1c(OC)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl,3.498
NCCNCCO,1.541
CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.211
CC(Cl)CO,2.637
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,1.665
CCSCCSP(=O)(OC)OC,3.76
CO[Si](CCCNCCC[Si](OC)(OC)OC)(OC)OC,1.96
C=CC1CCC(C=C)OC1,1.75
CN(C)Cc1cc(-c2ccccc2)ccc1O,3.959
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,2.824
CCCCC(CC)COP(=O)(O)O,1.785
ClCC1CS1,3.434
CCOC(=N)c1sc2ccccc2c1O,1.743
CCOC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.841
CCC1(CC)C(=O)C=CN(CN2CCNCC2)C1=O,2.297
CC(=O)CCC(C)=O,1.74
CN(SSC(C)(C)C)C(=O)ON=C1SCCS1,4.747
C=CC(=O)OCCC(C)OC(=O)C=C,1.7480000000000002
CNC(=O)ON=C1COC(C)S1,3.589
CC(C)CC(C)(C)CO,1.835
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(O)C1OC,2.937
CCCCN(CCCC)CCCN,2.356
CC(=Cc1ccccc1)CC(=O)NCCO,2.2030000000000003
CC(C)(C#N)Nc1nc(Cl)nc(NC2CC2)n1,2.94
CCOC(C1=NCCCCN1)c1ccccc1,2.792
C1=CC2C3C=CC(C3)C2C1,2.573
CCC(C)(O)CC,2.158
Oc1ccc(Cl)cc1Cl,2.449
CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C,4.88
CCC(C(O)c1ccc2[nH]c(=O)ccc2c1)N1CCN(c2cccc(Cl)c2)CC1,2.9160000000000004
CC(O)C(=O)O,1.383
O=NN1CCOC1,1.833
CNC(=O)N(C)N=O,2.6210000000000004
CC(C)(C)C(=O)CCl,2.389
CN1CCOC1,2.324
COCC(O)Cn1ccnc1[N+](=O)[O-],1.975
CCOC(=O)CCC#N,1.091
Cc1cc(N(C)C)nc(Cl)n1,5.138
CN(C)Cc1ccccc1,2.708
COC(=O)OC(=O)OC,2.712
CCCCN(N=O)C(=O)OCC,2.287
CC1COC(C(Cl)(Cl)Cl)O1,2.733
CN(C)N=Nc1ccc(Br)cc1,2.732
CC(C(=O)O)c1ccc(Oc2nccs2)cc1,3.266
Cc1cc(Sc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1.7519999999999998
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,3.102
COC(=O)C(C(C)=O)C(C)=O,1.969
Nc1ccc(OC(F)(F)C(F)F)c(N)c1,2.321
C=COC=O,1.4069999999999998
C#CC(C)N(C(=O)CCl)c1ccccc1,2.278
CC(C)OP(=S)(OC(C)C)SCSC(C)C,4.782
COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,3.0660000000000003
S=C(Cc1ccccc1)N1CCOCC1,3.646
O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1,1.87
ClC1C=CCC1,2.506
CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,2.408
CCOP(=S)(CCl)Oc1ccc(C#N)cc1OC,3.634
COc1ccc([N+](=O)[O-])cc1CNCCBr,4.16
CC1(C)OCC(COC(=O)Cc2ccc3c(c2)OCc2ccccc2C3=O)O1,3.619
CCC(C)(C)c1ccc2c(c1)C(=O)c1ccccc1C2=O,2.24
CC(C)OP(C)(=O)F,5.406000000000001
CCOP(=O)(OC=CCSCC)OCC,5.229
C(OCC1CO1)C1CO1,2.461
Oc1ccc(Cc2ccc(O)cc2)cc1,1.607
CCOC(C1=NCC(C)(CC)CN1)c1cccc(Cl)c1,3.525
CC1=CCC(=O)O1,1.401
N#CC1CC=CCC1,2.367
NC(CO)(CO)CO,1.3119999999999998
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,3.367
CCOC(=O)c1cc2c(ccc3ccccc32)oc1=O,2.23
CC(C)=CCCC(C)=CCCC(C)=CCO,1.569
O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,1.976
CCCOC(=O)c1cc(O)c(O)c(O)c1,2.005
CCN(CC)CCSC(=S)N1c2ccccc2Sc2ccccc21,2.273
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,2.417
CC(C)(S)C(N)C(=O)O,1.384
CCC(C)OP(=S)(CC)OC,4.448
COc1ccc2c(c1)c(CC(=O)Oc1ccccc1Cl)c(C)n2C(=O)c1ccc(Cl)cc1,3.489
O=C(O)CCCCCCCCCCl,1.616
CCOP(=S)(CC)Oc1cc(Cl)ccc1Cl,4.197
CC1OCCO1,1.4680000000000002
O=C1C=CC(=O)N1c1c(F)c(F)c(F)c(N2C(=O)C=CC2=O)c1F,2.209
CCOP(=S)(OCC)SCn1nc(Cl)c(C)cc1=O,3.5810000000000004
CNC(=O)c1cnn(C(C)(C)C)c1C#N,2.721
CC1CCC(=O)O1,1.056
CC(C)C1CCC(C)C2OC12,1.348
Nc1ccc(-c2ccccc2)cc1,2.529
CCOP(=O)(Oc1cnn(C)c(=O)c1OC)N(C)C,4.765
CS(=O)(=O)c1ccccc1,2.026
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,1.839
CCCC1C2C=CC(C2)C1C=O,1.5530000000000002
CCN(CC)CCNC(=O)C(C)(C)Oc1ccc(Cl)cc1,3.018
CCCCSC(=O)Oc1c(C(C)CC)cc([N+](=O)[O-])cc1[N+](=O)[O-],3.385
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.251
CC(=O)Oc1ccc(C)cc1,1.898
COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,2.455
Cc1ccc(C(=O)c2cccc3c2CCC3C(=O)O)cc1,3.06
Oc1cc(Cl)ccc1Cl,2.449
CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,4.208
CON1CCC(=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C1=O,3.314
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1.822
O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12,2.155
Cc1nc(N)sc1C(=O)Nc1ccccc1,2.219
